usuario,hotel_recomendado,hotel_consumido,propiedad,novelty_count,novelty_ratio,surprise_score,preference_coverage,blind_spot_coverage
3,104,,,27,0.8181818181818182,0.8181818181818182,0.13333333333333333,0.8666666666666667
3,1054,,,8,0.5333333333333333,0.5333333333333333,0.15555555555555556,0.8444444444444444
3,1093,,,13,0.7222222222222222,0.7222222222222222,0.1111111111111111,0.8888888888888888
3,1164,,,10,0.5263157894736842,0.5263157894736842,0.2,0.8
3,1442,,,10,0.5882352941176471,0.5882352941176471,0.15555555555555556,0.8444444444444444
3,1487,,,5,0.5,0.5,0.1111111111111111,0.8888888888888888
3,1608,,,7,0.5833333333333334,0.5833333333333334,0.1111111111111111,0.8888888888888888
3,163,,,35,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.7777777777777778
3,1693,,,25,0.6944444444444444,0.6944444444444444,0.24444444444444444,0.7555555555555555
3,1729,,,10,0.5263157894736842,0.5263157894736842,0.2,0.8
3,2085,,,30,0.7317073170731707,0.7317073170731707,0.24444444444444444,0.7555555555555555
3,2101,,,8,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.7777777777777778
3,2109,,,12,0.75,0.75,0.08888888888888889,0.9111111111111111
3,2290,,,8,0.8,0.8,0.044444444444444446,0.9555555555555556
3,2344,,,42,0.8235294117647058,0.8235294117647058,0.2,0.8
3,25,,,8,0.5714285714285714,0.5714285714285714,0.13333333333333333,0.8666666666666667
3,2557,,,11,0.7333333333333333,0.7333333333333333,0.08888888888888889,0.9111111111111111
3,2617,,,7,0.5384615384615384,0.5384615384615384,0.13333333333333333,0.8666666666666667
3,2963,,,8,0.38095238095238093,0.38095238095238093,0.28888888888888886,0.7111111111111111
3,2972,,,10,0.5555555555555556,0.5555555555555556,0.17777777777777778,0.8222222222222222
3,3069,,,9,0.9,0.9,0.022222222222222223,0.9777777777777777
3,3119,,,24,0.8275862068965517,0.8275862068965517,0.1111111111111111,0.8888888888888888
3,3136,,,9,0.6,0.6,0.13333333333333333,0.8666666666666667
3,3165,,,13,0.65,0.65,0.15555555555555556,0.8444444444444444
3,3178,,,6,0.6666666666666666,0.6666666666666666,0.06666666666666667,0.9333333333333333
3,3209,,,7,0.5,0.5,0.15555555555555556,0.8444444444444444
3,3237,,,8,0.5333333333333333,0.5333333333333333,0.15555555555555556,0.8444444444444444
3,3484,,,6,0.6,0.6,0.08888888888888889,0.9111111111111111
3,3732,,,13,0.65,0.65,0.15555555555555556,0.8444444444444444
3,3737,,,7,0.7,0.7,0.06666666666666667,0.9333333333333333
3,393,,,20,0.7407407407407407,0.7407407407407407,0.15555555555555556,0.8444444444444444
3,4088,,,8,0.47058823529411764,0.47058823529411764,0.2,0.8
3,4122,,,7,0.5833333333333334,0.5833333333333334,0.1111111111111111,0.8888888888888888
3,4183,,,17,0.6296296296296297,0.6296296296296297,0.2222222222222222,0.7777777777777778
3,4359,,,13,0.5652173913043478,0.5652173913043478,0.2222222222222222,0.7777777777777778
3,4464,,,16,0.6153846153846154,0.6153846153846154,0.2222222222222222,0.7777777777777778
3,45,,,8,0.5714285714285714,0.5714285714285714,0.13333333333333333,0.8666666666666667
3,473,,,27,0.6923076923076923,0.6923076923076923,0.26666666666666666,0.7333333333333334
3,4825,,,4,0.3333333333333333,0.3333333333333333,0.17777777777777778,0.8222222222222222
3,4830,,,7,0.5833333333333334,0.5833333333333334,0.1111111111111111,0.8888888888888888
3,4942,,,7,0.4666666666666667,0.4666666666666667,0.17777777777777778,0.8222222222222222
3,4990,,,20,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.7777777777777778
3,5061,,,11,0.6875,0.6875,0.1111111111111111,0.8888888888888888
3,522,,,12,0.7058823529411765,0.7058823529411765,0.1111111111111111,0.8888888888888888
3,5605,,,14,0.6666666666666666,0.6666666666666666,0.15555555555555556,0.8444444444444444
3,5855,,,9,0.8181818181818182,0.8181818181818182,0.044444444444444446,0.9555555555555556
3,774,,,8,0.47058823529411764,0.47058823529411764,0.2,0.8
3,888,,,18,0.6206896551724138,0.6206896551724138,0.24444444444444444,0.7555555555555555
3,901,,,8,0.5,0.5,0.17777777777777778,0.8222222222222222
3,907,,,5,0.2777777777777778,0.2777777777777778,0.28888888888888886,0.7111111111111111
