usuario,hotel_recomendado,hotel_consumido,propiedad,example_similarity_score,mean_example_similarity,k_nearest_example_strength,example_coverage,example_consensus_score,example_disagreement_score,example_density_global,is_most_similar,is_least_similar,prototype_similarity,cosine_similarity,shared_attribute_count,shared_category_count,shared_location_count,category_alignment_score,path_count,path_length,weighted_kps,explanation_type_diversity,attribute_diversity_recommended,cross_explanation_diversity
3,104,1783,,0.07017543859649122,0.05893367138777175,0.235734685551087,1.0,2.75,0.00018827591075705165,0.007407407407407408,0,0,0.0,0.1315903389919538,4,0,0,0.0625,4,2,3.3,2,10,2.0
3,104,1941,,0.07142857142857142,0.05893367138777175,0.235734685551087,1.0,2.75,0.00018827591075705165,0.007407407407407408,1,0,0.0,0.15075567228888181,3,0,0,0.0625,3,2,2.3,2,10,2.0
3,104,2513,,0.046511627906976744,0.05893367138777175,0.235734685551087,1.0,2.75,0.00018827591075705165,0.007407407407407408,0,1,0.0,0.10050378152592121,2,1,0,0.0625,2,2,2.3,2,10,2.0
3,104,457,,0.047619047619047616,0.05893367138777175,0.235734685551087,1.0,2.75,0.00018827591075705165,0.007407407407407408,0,0,0.047619047619047616,0.1049727762162956,2,1,0,0.0625,2,2,2.3,2,10,2.0
3,1054,1783,,0.13157894736842105,0.1657998751820262,0.6631995007281049,1.0,4.25,0.002088832239037484,0.025185185185185185,0,0,0.0,0.24397501823713327,5,0,2,0.3333333333333333,5,2,7.8,4,10,3.75
3,1054,1941,,0.22727272727272727,0.1657998751820262,0.6631995007281049,1.0,4.25,0.002088832239037484,0.025185185185185185,1,0,0.0,0.372677996249965,5,1,1,0.3333333333333333,5,2,6.8,4,10,3.75
3,1054,2513,,0.17391304347826086,0.1657998751820262,0.6631995007281049,1.0,4.25,0.002088832239037484,0.025185185185185185,0,0,0.0,0.29814239699997197,4,0,2,0.3333333333333333,4,2,7.3,4,10,3.75
3,1054,457,,0.13043478260869565,0.1657998751820262,0.6631995007281049,1.0,4.25,0.002088832239037484,0.025185185185185185,0,1,0.13043478260869565,0.23354968324845687,3,0,2,0.3333333333333333,3,2,5.8,3,10,3.75
3,1093,1783,,0.06976744186046512,0.07200535252860835,0.2880214101144334,1.0,2.25,0.000950547601810189,0.011111111111111112,0,0,0.0,0.1336306209562122,3,0,0,0.0,3,2,2.3,2,10,1.75
3,1093,1941,,0.1111111111111111,0.07200535252860835,0.2880214101144334,1.0,2.25,0.000950547601810189,0.011111111111111112,1,0,0.0,0.20412414523193154,3,0,0,0.0,3,2,2.3,2,10,1.75
3,1093,2513,,0.07142857142857142,0.07200535252860835,0.2880214101144334,1.0,2.25,0.000950547601810189,0.011111111111111112,0,0,0.0,0.13608276348795434,2,0,0,0.0,2,2,1.8,2,10,1.75
3,1093,457,,0.03571428571428571,0.07200535252860835,0.2880214101144334,1.0,2.25,0.000950547601810189,0.011111111111111112,0,1,0.03571428571428571,0.07106690545187015,1,0,0,0.0,1,2,0.3,1,10,1.75
3,1164,1783,,0.14634146341463414,0.10801393728222997,0.43205574912891986,1.0,3.5,0.0009363352717648628,0.016374269005847954,1,0,0.0,0.26013299085723596,6,3,0,0.625,6,2,8.3,3,10,2.75
3,1164,1941,,0.10714285714285714,0.10801393728222997,0.43205574912891986,1.0,3.5,0.0009363352717648628,0.016374269005847954,0,0,0.0,0.19867985355975656,3,1,0,0.625,3,2,3.3,3,10,2.75
3,1164,2513,,0.10714285714285714,0.10801393728222997,0.43205574912891986,1.0,3.5,0.0009363352717648628,0.016374269005847954,0,0,0.0,0.19867985355975656,3,1,0,0.625,3,2,3.8,3,10,2.75
3,1164,457,,0.07142857142857142,0.10801393728222997,0.43205574912891986,1.0,3.5,0.0009363352717648628,0.016374269005847954,0,1,0.07142857142857142,0.13834289277321493,2,1,0,0.625,2,2,2.3,2,10,2.75
3,1442,1783,,0.125,0.08943783068783069,0.35775132275132276,1.0,2.75,0.003958583361328071,0.014379084967320262,0,0,0.0,0.2291746242570528,5,0,0,0.0,5,2,4.3,2,10,1.75
3,1442,1941,,0.16,0.08943783068783069,0.35775132275132276,1.0,2.75,0.003958583361328071,0.014379084967320262,1,0,0.0,0.280056016805602,4,0,0,0.0,4,2,3.8,3,10,1.75
3,1442,2513,,0.03571428571428571,0.08943783068783069,0.35775132275132276,1.0,2.75,0.003958583361328071,0.014379084967320262,0,1,0.0,0.0700140042014005,1,0,0,0.0,1,2,0.3,1,10,1.75
3,1442,457,,0.037037037037037035,0.08943783068783069,0.35775132275132276,1.0,2.75,0.003958583361328071,0.014379084967320262,0,0,0.037037037037037035,0.07312724241271307,1,0,0,0.0,1,2,0.3,1,10,1.75
3,1487,1783,,0.11764705882352941,0.15569561157796452,0.6227824463118581,1.0,3.25,0.007963316045372397,0.02888888888888889,0,0,0.0,0.23904572186687872,4,1,3,1.0,4,2,8.5,4,9,3.25
3,1487,1941,,0.047619047619047616,0.15569561157796452,0.6227824463118581,1.0,3.25,0.007963316045372397,0.02888888888888889,0,1,0.0,0.09128709291752768,1,0,1,1.0,1,2,2.5,1,9,3.25
3,1487,2513,,0.2222222222222222,0.15569561157796452,0.6227824463118581,1.0,3.25,0.007963316045372397,0.02888888888888889,0,0,0.0,0.3651483716701107,4,1,3,1.0,4,2,8.5,4,9,3.25
3,1487,457,,0.23529411764705882,0.15569561157796452,0.6227824463118581,1.0,3.25,0.007963316045372397,0.02888888888888889,1,0,0.23529411764705882,0.38138503569823695,4,1,3,1.0,4,2,8.5,4,9,3.25
