usuario,hotel_recomendado,hotel_consumido,propiedad,explanation_type_diversity,attribute_diversity_recommended,cross_explanation_diversity
3,888,2513,,1,10,2.0
3,888,1941,,3,10,2.0
3,888,1783,,3,10,2.0
3,901,457,,4,10,4.5
3,901,2513,,4,10,4.5
3,901,1941,,5,10,4.5
3,901,1783,,5,10,4.5
3,907,457,,5,10,5.25
3,907,2513,,6,10,5.25
3,907,1941,,4,10,5.25
3,907,1783,,6,10,5.25
