usuario,hotel_recomendado,propiedad,hotel_consumido,attribute_popularity,attribute_popularity_rank,inverse_popularity,commonality_score
3,1442,has_attribute:RestaurantsPriceRange2=2,,2,0.7272727272727273,0.5,0
3,1442,has_attribute:ByAppointmentOnly=False,,2,0.7272727272727273,0.5,0
3,1442,has_attribute:RestaurantsTakeOut=True,,1,0.0,1.0,0
3,1442,has_attribute:OutdoorSeating=False,,2,0.7272727272727273,0.5,0
3,1442,has_name:Louis Armstrong New Orleans International Airport  MSY,,1,0.0,1.0,0
3,1442,has_rating:3.0 stars,,2,0.7272727272727273,0.5,0
3,1442,"has_coordinates:(29.9959, -90.2552)",,1,0.0,1.0,0
3,1442,in_state:LA,,1,0.0,1.0,0
3,1442,has_review_count:1789 reviews,,1,0.0,1.0,0
3,1487,has_name:Ride The Ducks,,1,0.0,1.0,0
3,1487,status:closed,,1,0.0,1.0,0
3,1487,has_postal_code:19106,,4,0.92,0.25,0
3,1487,has_category:Tours,,3,0.86,0.3333333333333333,0
3,1487,has_category:Local Flavor,,2,0.78,0.5,0
3,1487,located_in_city:Philadelphia,,4,0.92,0.25,0
3,1487,"has_coordinates:(39.9510, -75.1503)",,1,0.0,1.0,0
3,1487,has_review_count:83 reviews,,1,0.0,1.0,0
3,1487,in_state:PA,,5,0.98,0.2,0
3,1487,has_rating:3.5 stars,,1,0.0,1.0,0
3,1608,has_postal_code:70094,,1,0.0,1.0,0
3,1608,has_category:Arts & Entertainment,,2,0.7884615384615384,0.5,0
3,1608,has_category:Tours,,3,0.8269230769230769,0.3333333333333333,0
3,1608,has_category:Professional Sports Teams,,1,0.0,1.0,0
3,1608,"has_coordinates:(29.9001, -90.1523)",,1,0.0,1.0,0
3,1608,has_attribute:WiFi=free,,3,0.8269230769230769,0.3333333333333333,0
3,1608,has_review_count:472 reviews,,1,0.0,1.0,0
3,1608,has_rating:4.5 stars,,3,0.8269230769230769,0.3333333333333333,0
3,1608,located_in_city:Westwego,,1,0.0,1.0,0
3,1608,status:open,,5,0.9807692307692307,0.2,0
3,1608,has_name:Ultimate Swamp Adventures,,1,0.0,1.0,0
3,1608,in_state:LA,,1,0.0,1.0,0
3,163,has_category:Nightlife,,1,0.0,1.0,0
3,163,has_category:Event Planning & Services,,2,0.825,0.5,0
3,163,has_category:Gluten-Free,,1,0.0,1.0,0
3,163,has_category:Bars,,1,0.0,1.0,0
3,163,has_category:Beer,,1,0.0,1.0,0
3,163,has_category:Restaurants,,2,0.825,0.5,0
3,163,has_category:Food,,1,0.0,1.0,0
3,163,has_category:Italian,,1,0.0,1.0,0
3,163,has_category:Wine Bars,,1,0.0,1.0,0
3,163,has_category:Wine & Spirits,,1,0.0,1.0,0
3,163,has_attribute:HasTV=True,,1,0.0,1.0,0
3,163,has_attribute:WiFi=free,,3,0.9,0.3333333333333333,0
3,163,has_attribute:RestaurantsReservations=True,,2,0.825,0.5,0
3,163,has_attribute:RestaurantsPriceRange2=3,,1,0.0,1.0,0
3,163,has_attribute:GoodForKids=False,,1,0.0,1.0,0
3,163,has_attribute:OutdoorSeating=True,,1,0.0,1.0,0
3,163,has_attribute:RestaurantsAttire=dressy,,1,0.0,1.0,0
3,163,has_attribute:RestaurantsGoodForGroups=True,,1,0.0,1.0,0
3,163,has_attribute:GoodForDancing=False,,1,0.0,1.0,0
3,163,has_attribute:RestaurantsTakeOut=True,,1,0.0,1.0,0
3,163,has_attribute:RestaurantsTableService=True,,1,0.0,1.0,0
3,163,has_attribute:WheelchairAccessible=True,,1,0.0,1.0,0
3,163,has_attribute:DriveThru=False,,1,0.0,1.0,0
3,163,"has_attribute:Music={dj: False, background_music: False, no_music: False, jukebox: False, live: False, video: False, karaoke: False}",,1,0.0,1.0,0
3,163,has_attribute:Alcohol=full_bar,,1,0.0,1.0,0
3,163,has_attribute:Caters=False,,1,0.0,1.0,0
3,163,has_attribute:BikeParking=False,,1,0.0,1.0,0
3,163,has_attribute:CoatCheck=True,,1,0.0,1.0,0
3,163,has_attribute:Smoking=no,,1,0.0,1.0,0
3,163,has_attribute:BusinessAcceptsCreditCards=True,,3,0.9,0.3333333333333333,0
3,163,has_attribute:HappyHour=True,,1,0.0,1.0,0
3,163,has_attribute:RestaurantsDelivery=True,,1,0.0,1.0,0
3,163,"has_attribute:BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}",,1,0.0,1.0,0
3,163,"has_attribute:Ambience={touristy: False, hipster: False, romantic: False, divey: False, intimate: True, trendy: False, upscale: False, classy: True, casual: False}",,1,0.0,1.0,0
3,163,"has_attribute:BestNights={monday: True, tuesday: False, friday: True, wednesday: False, thursday: False, sunday: False, saturday: True}",,1,0.0,1.0,0
3,163,"has_attribute:GoodForMeal={dessert: None, latenight: False, lunch: False, dinner: True, brunch: False, breakfast: False}",,1,0.0,1.0,0
3,163,has_attribute:NoiseLevel=quiet,,1,0.0,1.0,0
3,163,has_review_count:324 reviews,,1,0.0,1.0,0
3,163,has_name:Panorama,,1,0.0,1.0,0
3,163,has_rating:4.0 stars,,2,0.825,0.5,0
3,163,status:open,,5,0.975,0.2,0
3,163,"has_coordinates:(39.9502, -75.1423)",,1,0.0,1.0,0
3,163,has_postal_code:19106,,4,0.95,0.25,0
3,163,located_in_city:Philadelphia,,4,0.95,0.25,0
3,163,in_state:PA,,5,0.975,0.2,0
3,1693,has_attribute:RestaurantsAttire=dressy,,1,0.0,1.0,0
3,1693,"has_attribute:Ambience={romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: True, trendy: False, upscale: False, casual: False}",,1,0.0,1.0,0
3,1693,has_attribute:RestaurantsTakeOut=True,,1,0.0,1.0,0
3,1693,"has_attribute:GoodForMeal={breakfast: False, brunch: True, lunch: None, dinner: True, latenight: False, dessert: None}",,1,0.0,1.0,0
3,1693,has_attribute:RestaurantsPriceRange2=3,,1,0.0,1.0,0
3,1693,has_attribute:BYOBCorkage=no,,1,0.0,1.0,0
3,1693,has_attribute:RestaurantsGoodForGroups=True,,1,0.0,1.0,0
3,1693,has_attribute:Alcohol=full_bar,,1,0.0,1.0,0
3,1693,has_attribute:BusinessAcceptsCreditCards=True,,3,0.9,0.3333333333333333,0
3,1693,has_attribute:WiFi=no,,1,0.0,1.0,0
3,1693,has_attribute:NoiseLevel=average,,1,0.0,1.0,0
3,1693,"has_attribute:BusinessParking={garage: False, street: False, validated: False, lot: True, valet: False}",,1,0.0,1.0,0
3,1693,has_attribute:OutdoorSeating=False,,2,0.7428571428571429,0.5,0
3,1693,has_attribute:RestaurantsDelivery=False,,2,0.7428571428571429,0.5,0
3,1693,has_attribute:RestaurantsTableService=True,,1,0.0,1.0,0
3,1693,has_attribute:Caters=True,,1,0.0,1.0,0
3,1693,has_attribute:GoodForKids=True,,2,0.7428571428571429,0.5,0
3,1693,has_attribute:BikeParking=True,,1,0.0,1.0,0
3,1693,has_attribute:RestaurantsReservations=True,,2,0.7428571428571429,0.5,0
3,1693,has_attribute:HasTV=False,,1,0.0,1.0,0
3,1693,status:open,,5,0.9714285714285714,0.2,0
3,1693,in_state:PA,,5,0.9714285714285714,0.2,0
3,1693,has_category:Event Planning & Services,,2,0.7428571428571429,0.5,0
3,1693,has_category:Restaurants,,2,0.7428571428571429,0.5,0
3,1693,has_category:American (New),,1,0.0,1.0,0
3,1693,has_category:Caterers,,1,0.0,1.0,0
3,1693,has_category:American (Traditional),,1,0.0,1.0,0
3,1693,has_category:Breakfast & Brunch,,2,0.7428571428571429,0.5,0
3,1693,has_category:Bed & Breakfast,,1,0.0,1.0,0
3,1693,has_category:Venues & Event Spaces,,1,0.0,1.0,0
3,1693,"has_coordinates:(40.2020, -75.2560)",,1,0.0,1.0,0
3,1693,has_review_count:268 reviews,,1,0.0,1.0,0
3,1693,has_name:William Penn Inn,,1,0.0,1.0,0
3,1693,has_postal_code:19436,,1,0.0,1.0,0
3,1693,has_rating:4.0 stars,,2,0.7428571428571429,0.5,0
3,1693,located_in_city:Gwynedd,,1,0.0,1.0,0
3,1729,has_attribute:BusinessAcceptsCreditCards=True,,3,0.8363636363636363,0.3333333333333333,0
3,1729,has_attribute:DogsAllowed=False,,1,0.0,1.0,0
3,1729,has_attribute:GoodForKids=True,,2,0.7272727272727273,0.5,0
3,1729,has_attribute:ByAppointmentOnly=False,,2,0.7272727272727273,0.5,0
3,1729,has_review_count:121 reviews,,1,0.0,1.0,0
3,1729,has_category:Historical Tours,,2,0.7272727272727273,0.5,0
3,1729,has_category:Tours,,3,0.8363636363636363,0.3333333333333333,0
3,1729,has_category:Arts & Entertainment,,2,0.7272727272727273,0.5,0
3,1729,has_category:Museums,,2,0.7272727272727273,0.5,0
3,1729,has_category:Shopping,,1,0.0,1.0,0
3,1729,has_category:Souvenir Shops,,1,0.0,1.0,0
3,1729,has_category:Walking Tours,,1,0.0,1.0,0
3,1729,"has_coordinates:(39.9845, -86.0288)",,1,0.0,1.0,0
3,1729,status:open,,5,0.9818181818181818,0.2,0
3,1729,in_state:IN,,1,0.0,1.0,0
3,1729,has_rating:4.5 stars,,3,0.8363636363636363,0.3333333333333333,0
3,1729,has_postal_code:46038,,1,0.0,1.0,0
3,1729,located_in_city:Fishers,,1,0.0,1.0,0
3,1729,has_name:Conner Prairie,,1,0.0,1.0,0
3,2085,has_category:Home & Garden,,1,0.0,1.0,0
3,2085,has_category:Festivals,,1,0.0,1.0,0
3,2085,has_category:Parks,,1,0.0,1.0,0
3,2085,has_category:Museums,,2,0.7866666666666666,0.5,0
3,2085,has_category:Farmers Market,,1,0.0,1.0,0
3,2085,has_category:Shopping,,1,0.0,1.0,0
3,2085,has_category:Nurseries & Gardening,,1,0.0,1.0,0
3,2085,has_category:Tours,,3,0.8666666666666667,0.3333333333333333,0
3,2085,has_category:Antiques,,1,0.0,1.0,0
3,2085,has_category:Active Life,,1,0.0,1.0,0
3,2085,has_category:Arts & Entertainment,,2,0.7866666666666666,0.5,0
3,2085,has_category:Food,,1,0.0,1.0,0
3,2085,has_category:Botanical Gardens,,1,0.0,1.0,0
3,2085,has_attribute:GoodForKids=True,,2,0.7866666666666666,0.5,0
3,2085,"has_attribute:GoodForMeal={dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",,1,0.0,1.0,0
3,2085,has_attribute:ByAppointmentOnly=False,,2,0.7866666666666666,0.5,0
3,2085,has_attribute:OutdoorSeating=True,,1,0.0,1.0,0
3,2085,"has_attribute:Ambience={romantic: False, intimate: False, touristy: False, hipster: False, divey: False, classy: False, trendy: False, upscale: False, casual: False}",,1,0.0,1.0,0
3,2085,has_attribute:Caters=False,,1,0.0,1.0,0
3,2085,has_attribute:RestaurantsPriceRange2=1,,1,0.0,1.0,0
3,2085,"has_attribute:BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}",,1,0.0,1.0,0
3,2085,has_attribute:DogsAllowed=False,,1,0.0,1.0,0
3,2085,has_attribute:RestaurantsTableService=False,,1,0.0,1.0,0
3,2085,has_attribute:HasTV=False,,1,0.0,1.0,0
3,2085,has_attribute:RestaurantsAttire=casual,,1,0.0,1.0,0
3,2085,has_attribute:BikeParking=True,,1,0.0,1.0,0
3,2085,has_attribute:WiFi=free,,3,0.8666666666666667,0.3333333333333333,0
3,2085,has_attribute:RestaurantsGoodForGroups=True,,1,0.0,1.0,0
3,2085,has_attribute:RestaurantsTakeOut=False,,2,0.7866666666666666,0.5,0
3,2085,has_attribute:BusinessAcceptsCreditCards=True,,3,0.8666666666666667,0.3333333333333333,0
3,2085,has_attribute:RestaurantsDelivery=False,,2,0.7866666666666666,0.5,0
3,2085,has_attribute:NoiseLevel=average,,1,0.0,1.0,0
3,2085,has_attribute:RestaurantsReservations=False,,1,0.0,1.0,0
3,2085,in_state:MO,,1,0.0,1.0,0
3,2085,has_review_count:468 reviews,,1,0.0,1.0,0
3,2085,status:open,,5,0.9866666666666667,0.2,0
3,2085,"has_coordinates:(38.6161, -90.2581)",,1,0.0,1.0,0
3,2085,has_rating:4.5 stars,,3,0.8666666666666667,0.3333333333333333,0
3,2085,has_postal_code:63110,,1,0.0,1.0,0
3,2085,has_name:Missouri Botanical Garden,,1,0.0,1.0,0
3,2085,located_in_city:Saint Louis,,1,0.0,1.0,0
