usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,ratio_propiedades_compartidas,cobertura_tipos_propiedades,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,mrr,hit_rate,map,diversidad_tipos_shannon,novedad_threshold_2,serendipia,consistencia_tipos,peso_ponderado_perfil,jaccard_similarity,balance_tipos_gini,riqueza_explicativa
276,1093,1442,5,0.29411764705882354,3,1.0,0.0364963503649635,0.0704225352112676,0.7524475452914031,1.0,1.0,1.0,1.3709505944546687,0.2,0.0,1.0,0.7317073170731707,0.0364963503649635,0.7333333333333332,0.5477225575051661
276,1093,4326,4,0.2222222222222222,4,1.0,0.029197080291970802,0.05673758865248227,0.5990415655342963,1.0,1.0,1.0,2.0,0.5,0.0,1.0,0.5,0.029197080291970802,1.0,0.565685424949238
276,1093,3143,4,0.16666666666666666,2,1.0,0.029197080291970802,0.05673758865248227,0.7732760880133429,1.0,1.0,1.0,0.8112781244591328,0.0,0.0,1.0,0.7058823529411765,0.029197080291970802,0.75,0.4
276,1093,104,6,0.18181818181818182,3,1.0,0.0364963503649635,0.0704225352112676,0.8473644560292102,1.0,1.0,1.0,1.4591479170272448,0.3333333333333333,0.0,1.0,0.5957446808510638,0.043795620437956206,0.7777777777777777,0.6
276,1093,1356,2,0.13333333333333333,2,1.0,0.014598540145985401,0.028776978417266185,0.892911205473213,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.8421052631578947,0.014598540145985401,1.0,0.282842712474619
276,1093,3438,2,0.125,2,1.0,0.014598540145985401,0.028776978417266185,0.9231984112820403,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.8947368421052632,0.014598540145985401,1.0,0.282842712474619
276,1093,558,1,0.08333333333333333,1,1.0,0.0072992700729927005,0.014492753623188404,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7,0.0072992700729927005,1.0,0.1414213562373095
276,1093,5360,3,0.09090909090909091,2,1.0,0.021897810218978103,0.04285714285714286,0.7801025237741752,1.0,1.0,1.0,0.9182958340544896,0.0,0.0,1.0,0.7407407407407407,0.021897810218978103,0.8333333333333333,0.3464101615137754
276,1093,592,3,0.25,2,1.0,0.021897810218978103,0.04285714285714286,0.8958496943635434,1.0,1.0,1.0,0.9182958340544896,0.0,0.0,1.0,0.8148148148148148,0.021897810218978103,0.8333333333333333,0.3464101615137754
276,1093,4656,1,0.034482758620689655,1,1.0,0.0072992700729927005,0.014492753623188404,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.7,0.0072992700729927005,1.0,0.1414213562373095
276,1093,880,4,0.36363636363636365,3,1.0,0.029197080291970802,0.05673758865248227,0.7343788596303724,1.0,1.0,1.0,1.5,0.25,0.0,1.0,0.6764705882352942,0.029197080291970802,0.8333333333333333,0.4898979485566356
276,1093,4088,3,0.17647058823529413,3,1.0,0.021897810218978103,0.04285714285714286,0.6849970063690538,1.0,1.0,1.0,1.584962500721156,0.3333333333333333,0.0,1.0,0.6296296296296297,0.021897810218978103,1.0,0.4242640687119285
