usuario,hotel_recomendado,hotel_historico,num_propiedades_compartidas,ratio_propiedades_compartidas,cobertura_tipos_propiedades,precision_at_5,recall_at_5,f1_at_5,ndcg_at_5,mrr,hit_rate,map,diversidad_tipos_shannon,novedad_threshold_2,serendipia,consistencia_tipos,peso_ponderado_perfil,jaccard_similarity,balance_tipos_gini,riqueza_explicativa
35,104,4326,3,0.16666666666666666,2,1.0,0.04,0.07692307692307693,0.908465248289621,1.0,1.0,1.0,0.9182958340544896,0.3333333333333333,0.0,1.0,0.9,0.04,0.8333333333333333,0.3464101615137754
35,104,5767,3,0.3,3,1.0,0.04,0.07692307692307693,0.7076553232957626,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.6,0.04,1.0,0.4242640687119285
35,104,2344,5,0.09803921568627451,3,1.0,0.06666666666666667,0.125,0.8472604135045221,1.0,1.0,1.0,1.3709505944546687,0.6,0.0,1.0,0.6666666666666666,0.06666666666666667,0.7333333333333332,0.5477225575051661
35,104,2989,4,0.2857142857142857,2,1.0,0.05333333333333334,0.10126582278481014,0.885450400109857,1.0,1.0,1.0,0.8112781244591328,0.5,0.0,1.0,0.7692307692307693,0.05333333333333334,0.75,0.4
35,1093,4326,4,0.2222222222222222,4,1.0,0.05333333333333334,0.10126582278481014,0.8401498110374593,1.0,1.0,1.0,2.0,0.75,0.0,1.0,0.7692307692307693,0.05333333333333334,1.0,0.565685424949238
35,1093,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,1093,2344,1,0.0196078431372549,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,1093,2989,6,0.42857142857142855,5,1.0,0.06666666666666667,0.125,0.8656392231763174,1.0,1.0,1.0,2.2516291673878226,0.8333333333333334,0.0,1.0,0.7058823529411765,0.08,0.8666666666666667,0.7745966692414834
35,1152,4326,8,0.4444444444444444,3,1.0,0.06666666666666667,0.125,1.0,1.0,1.0,1.0,1.4056390622295665,0.5,0.0,1.0,1.0,0.10666666666666667,0.75,0.6928203230275508
35,1152,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,1152,2344,21,0.4117647058823529,3,1.0,0.06666666666666667,0.125,0.8389776660073724,1.0,1.0,1.0,0.9637459942073318,0.8095238095238095,0.0,1.0,0.8717948717948718,0.28,0.5238095238095237,1.0
35,1152,2989,5,0.35714285714285715,4,1.0,0.06666666666666667,0.125,0.797232348063715,1.0,1.0,1.0,1.9219280948873623,0.2,0.0,1.0,0.9333333333333333,0.06666666666666667,0.8500000000000001,0.6324555320336759
35,1361,4326,7,0.3888888888888889,5,1.0,0.06666666666666667,0.125,0.933579955310489,1.0,1.0,1.0,2.2359263506290326,0.5714285714285714,0.0,1.0,0.9473684210526315,0.09333333333333334,0.8285714285714285,0.8366600265340756
35,1361,5767,2,0.2,2,1.0,0.02666666666666667,0.05194805194805195,0.7609096232928763,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.7142857142857143,0.02666666666666667,1.0,0.282842712474619
35,1361,2344,14,0.27450980392156865,3,1.0,0.06666666666666667,0.125,0.8166524211685232,1.0,1.0,1.0,1.0949143184120975,0.7857142857142857,0.0,1.0,0.6875,0.18666666666666668,0.5714285714285714,0.916515138991168
35,1361,2989,8,0.5714285714285714,6,1.0,0.06666666666666667,0.125,0.8108023317251566,1.0,1.0,1.0,2.4056390622295662,0.625,0.0,1.0,0.8571428571428571,0.10666666666666667,0.7916666666666667,0.9797958971132712
35,1404,4326,1,0.05555555555555555,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,1404,5767,3,0.3,3,1.0,0.04,0.07692307692307693,0.7076553232957626,1.0,1.0,1.0,1.584962500721156,0.6666666666666666,0.0,1.0,0.6,0.04,1.0,0.4242640687119285
35,1404,2344,1,0.0196078431372549,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
35,1404,2989,2,0.14285714285714285,2,1.0,0.02666666666666667,0.05194805194805195,0.7609096232928763,1.0,1.0,1.0,1.0,0.5,0.0,1.0,0.7142857142857143,0.02666666666666667,1.0,0.282842712474619
35,1411,4326,2,0.1111111111111111,2,1.0,0.02666666666666667,0.05194805194805195,0.9373691761066303,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.02666666666666667,1.0,0.282842712474619
35,1411,5767,1,0.1,1,1.0,0.013333333333333334,0.02631578947368421,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.013333333333333334,1.0,0.1414213562373095
