usuario,hotel_recomendado,hotel_consumido,propiedad,example_similarity_score,shared_attribute_count,mean_example_similarity,k_nearest_example_strength,example_coverage,example_consensus_score,example_disagreement_score,is_most_similar,is_least_similar,is_prototype,prototype_similarity
3,104,457,,0.047619047619047616,2,0.05893367138777175,0.235734685551087,1.0,2.75,0.00018827591075705165,0,0,1,0.047619047619047616
3,104,2513,,0.046511627906976744,2,0.05893367138777175,0.235734685551087,1.0,2.75,0.00018827591075705165,0,1,0,0.0
3,104,1941,,0.07142857142857142,3,0.05893367138777175,0.235734685551087,1.0,2.75,0.00018827591075705165,1,0,0,0.0
3,104,1783,,0.07017543859649122,4,0.05893367138777175,0.235734685551087,1.0,2.75,0.00018827591075705165,0,0,0,0.0
3,1054,457,,0.13043478260869565,3,0.1657998751820262,0.6631995007281049,1.0,4.25,0.002088832239037484,0,1,1,0.13043478260869565
3,1054,2513,,0.17391304347826086,4,0.1657998751820262,0.6631995007281049,1.0,4.25,0.002088832239037484,0,0,0,0.0
3,1054,1941,,0.22727272727272727,5,0.1657998751820262,0.6631995007281049,1.0,4.25,0.002088832239037484,1,0,0,0.0
3,1054,1783,,0.13157894736842105,5,0.1657998751820262,0.6631995007281049,1.0,4.25,0.002088832239037484,0,0,0,0.0
3,1093,457,,0.03571428571428571,1,0.07200535252860835,0.2880214101144334,1.0,2.25,0.000950547601810189,0,1,1,0.03571428571428571
3,1093,2513,,0.07142857142857142,2,0.07200535252860835,0.2880214101144334,1.0,2.25,0.000950547601810189,0,0,0,0.0
3,1093,1941,,0.1111111111111111,3,0.07200535252860835,0.2880214101144334,1.0,2.25,0.000950547601810189,1,0,0,0.0
3,1093,1783,,0.06976744186046512,3,0.07200535252860835,0.2880214101144334,1.0,2.25,0.000950547601810189,0,0,0,0.0
3,1164,457,,0.07142857142857142,2,0.10801393728222997,0.43205574912891986,1.0,3.5,0.0009363352717648628,0,1,1,0.07142857142857142
3,1164,2513,,0.10714285714285714,3,0.10801393728222997,0.43205574912891986,1.0,3.5,0.0009363352717648628,0,0,0,0.0
3,1164,1941,,0.10714285714285714,3,0.10801393728222997,0.43205574912891986,1.0,3.5,0.0009363352717648628,0,0,0,0.0
3,1164,1783,,0.14634146341463414,6,0.10801393728222997,0.43205574912891986,1.0,3.5,0.0009363352717648628,1,0,0,0.0
3,1442,457,,0.037037037037037035,1,0.08943783068783069,0.35775132275132276,1.0,2.75,0.003958583361328071,0,0,1,0.037037037037037035
3,1442,2513,,0.03571428571428571,1,0.08943783068783069,0.35775132275132276,1.0,2.75,0.003958583361328071,0,1,0,0.0
3,1442,1941,,0.16,4,0.08943783068783069,0.35775132275132276,1.0,2.75,0.003958583361328071,1,0,0,0.0
3,1442,1783,,0.125,5,0.08943783068783069,0.35775132275132276,1.0,2.75,0.003958583361328071,0,0,0,0.0
3,1487,457,,0.23529411764705882,4,0.15569561157796452,0.6227824463118581,1.0,3.25,0.007963316045372397,1,0,1,0.23529411764705882
3,1487,2513,,0.2222222222222222,4,0.15569561157796452,0.6227824463118581,1.0,3.25,0.007963316045372397,0,0,0,0.0
3,1487,1941,,0.047619047619047616,1,0.15569561157796452,0.6227824463118581,1.0,3.25,0.007963316045372397,0,1,0,0.0
3,1487,1783,,0.11764705882352941,4,0.15569561157796452,0.6227824463118581,1.0,3.25,0.007963316045372397,0,0,0,0.0
3,1608,457,,0.15,3,0.11073232323232324,0.44292929292929295,1.0,2.75,0.0007760049994898477,1,0,1,0.15
3,1608,2513,,0.09090909090909091,2,0.11073232323232324,0.44292929292929295,1.0,2.75,0.0007760049994898477,0,1,0,0.0
3,1608,1941,,0.09090909090909091,2,0.11073232323232324,0.44292929292929295,1.0,2.75,0.0007760049994898477,0,0,0,0.0
3,1608,1783,,0.1111111111111111,4,0.11073232323232324,0.44292929292929295,1.0,2.75,0.0007760049994898477,0,0,0,0.0
3,163,457,,0.07692307692307693,4,0.09807692307692309,0.39230769230769236,1.0,5.5,0.00035996055226824463,0,1,1,0.07692307692307693
3,163,2513,,0.09615384615384616,5,0.09807692307692309,0.39230769230769236,1.0,5.5,0.00035996055226824463,0,0,0,0.0
3,163,1941,,0.09615384615384616,5,0.09807692307692309,0.39230769230769236,1.0,5.5,0.00035996055226824463,0,0,0,0.0
3,163,1783,,0.12307692307692308,8,0.09807692307692309,0.39230769230769236,1.0,5.5,0.00035996055226824463,1,0,0,0.0
3,1693,457,,0.044444444444444446,2,0.09141414141414142,0.3656565656565657,1.0,4.5,0.0026782981328435872,0,1,1,0.044444444444444446
3,1693,2513,,0.06666666666666667,3,0.09141414141414142,0.3656565656565657,1.0,4.5,0.0026782981328435872,0,0,0,0.0
3,1693,1941,,0.09090909090909091,4,0.09141414141414142,0.3656565656565657,1.0,4.5,0.0026782981328435872,0,0,0,0.0
3,1693,1783,,0.16363636363636364,9,0.09141414141414142,0.3656565656565657,1.0,4.5,0.0026782981328435872,1,0,0,0.0
3,1729,457,,0.1111111111111111,3,0.11555487137383688,0.4622194854953475,1.0,3.75,0.0019316000748518015,0,0,1,0.1111111111111111
3,1729,2513,,0.10714285714285714,3,0.11555487137383688,0.4622194854953475,1.0,3.75,0.0019316000748518015,0,0,0,0.0
3,1729,1941,,0.06896551724137931,2,0.11555487137383688,0.4622194854953475,1.0,3.75,0.0019316000748518015,0,1,0,0.0
3,1729,1783,,0.175,7,0.11555487137383688,0.4622194854953475,1.0,3.75,0.0019316000748518015,1,0,0,0.0
3,2085,457,,0.061224489795918366,3,0.08248292537353924,0.32993170149415696,1.0,4.5,0.0034666511595021405,0,0,1,0.061224489795918366
3,2085,2513,,0.0392156862745098,2,0.08248292537353924,0.32993170149415696,1.0,4.5,0.0034666511595021405,0,1,0,0.0
3,2085,1941,,0.06,3,0.08248292537353924,0.32993170149415696,1.0,4.5,0.0034666511595021405,0,0,0,0.0
3,2085,1783,,0.1694915254237288,10,0.08248292537353924,0.32993170149415696,1.0,4.5,0.0034666511595021405,1,0,0,0.0
3,2101,457,,0.11538461538461539,3,0.1271126534284429,0.5084506137137716,1.0,4.0,0.0034840507631797592,0,0,1,0.11538461538461539
3,2101,2513,,0.1111111111111111,3,0.1271126534284429,0.5084506137137716,1.0,4.0,0.0034840507631797592,0,0,0,0.0
3,2101,1941,,0.07142857142857142,2,0.1271126534284429,0.5084506137137716,1.0,4.0,0.0034840507631797592,0,1,0,0.0
3,2101,1783,,0.21052631578947367,8,0.1271126534284429,0.5084506137137716,1.0,4.0,0.0034840507631797592,1,0,0,0.0
3,2109,457,,0.038461538461538464,1,0.07883399346813981,0.31533597387255924,1.0,2.25,0.003707857235044789,0,0,1,0.038461538461538464
3,2109,2513,,0.037037037037037035,1,0.07883399346813981,0.31533597387255924,1.0,2.25,0.003707857235044789,0,1,0,0.0
3,2109,1941,,0.16666666666666666,4,0.07883399346813981,0.31533597387255924,1.0,2.25,0.003707857235044789,1,0,0,0.0
3,2109,1783,,0.07317073170731707,3,0.07883399346813981,0.31533597387255924,1.0,2.25,0.003707857235044789,0,0,0,0.0
3,2290,457,,0.05,1,0.05616151866151867,0.22464607464607467,1.0,1.25,0.0009605230575307796,0,0,1,0.05
3,2290,2513,,0.047619047619047616,1,0.05616151866151867,0.22464607464607467,1.0,1.25,0.0009605230575307796,0,0,0,0.0
3,2290,1941,,0.1,2,0.05616151866151867,0.22464607464607467,1.0,1.25,0.0009605230575307796,1,0,0,0.0
3,2290,1783,,0.02702702702702703,1,0.05616151866151867,0.22464607464607467,1.0,1.25,0.0009605230575307796,0,1,0,0.0
3,2344,457,,0.01639344262295082,1,0.04938532681818227,0.1975413072727291,1.0,3.25,0.0016072631557200456,0,0,1,0.01639344262295082
3,2344,2513,,0.016129032258064516,1,0.04938532681818227,0.1975413072727291,1.0,3.25,0.0016072631557200456,0,1,0,0.0
3,2344,1941,,0.06779661016949153,4,0.04938532681818227,0.1975413072727291,1.0,3.25,0.0016072631557200456,0,0,0,0.0
3,2344,1783,,0.09722222222222222,7,0.04938532681818227,0.1975413072727291,1.0,3.25,0.0016072631557200456,1,0,0,0.0
3,25,457,,0.25,5,0.15173832923832925,0.606953316953317,1.0,3.75,0.007773757915834083,1,0,1,0.25
3,25,2513,,0.18181818181818182,4,0.15173832923832925,0.606953316953317,1.0,3.75,0.007773757915834083,0,0,0,0.0
3,25,1941,,0.04,1,0.15173832923832925,0.606953316953317,1.0,3.75,0.007773757915834083,0,1,0,0.0
3,25,1783,,0.13513513513513514,5,0.15173832923832925,0.606953316953317,1.0,3.75,0.007773757915834083,0,0,0,0.0
3,2557,457,,0.04,1,0.06875,0.275,1.0,2.0,0.0003729166666666667,0,1,1,0.04
3,2557,2513,,0.08,2,0.06875,0.275,1.0,2.0,0.0003729166666666667,1,0,0,0.0
3,2557,1941,,0.08,2,0.06875,0.275,1.0,2.0,0.0003729166666666667,0,0,0,0.0
3,2557,1783,,0.075,3,0.06875,0.275,1.0,2.0,0.0003729166666666667,0,0,0,0.0
3,2617,457,,0.043478260869565216,1,0.11484553775743707,0.4593821510297483,1.0,2.75,0.00847549755021321,0,1,1,0.043478260869565216
3,2617,2513,,0.08695652173913043,2,0.11484553775743707,0.4593821510297483,1.0,2.75,0.00847549755021321,0,0,0,0.0
3,2617,1941,,0.25,5,0.11484553775743707,0.4593821510297483,1.0,2.75,0.00847549755021321,1,0,0,0.0
3,2617,1783,,0.07894736842105263,3,0.11484553775743707,0.4593821510297483,1.0,2.75,0.00847549755021321,0,0,0,0.0
3,2963,457,,0.18518518518518517,5,0.2004371745751056,0.8017486983004224,1.0,6.25,0.00258240497356866,0,0,1,0.18518518518518517
3,2963,2513,,0.2222222222222222,6,0.2004371745751056,0.8017486983004224,1.0,6.25,0.00258240497356866,0,0,0,0.0
3,2963,1941,,0.13793103448275862,4,0.2004371745751056,0.8017486983004224,1.0,6.25,0.00258240497356866,0,1,0,0.0
3,2963,1783,,0.2564102564102564,10,0.2004371745751056,0.8017486983004224,1.0,6.25,0.00258240497356866,1,0,0,0.0
3,2972,457,,0.16,4,0.1361206896551724,0.5444827586206896,1.0,4.0,0.005057897344431233,0,0,1,0.16
3,2972,2513,,0.2,5,0.1361206896551724,0.5444827586206896,1.0,4.0,0.005057897344431233,1,0,0,0.0
3,2972,1941,,0.034482758620689655,1,0.1361206896551724,0.5444827586206896,1.0,4.0,0.005057897344431233,0,1,0,0.0
3,2972,1783,,0.15,6,0.1361206896551724,0.5444827586206896,1.0,4.0,0.005057897344431233,0,0,0,0.0
3,3069,457,,0.05,1,0.04306628056628056,0.17226512226512225,1.0,1.0,0.00011559649831850602,1,0,1,0.05
3,3069,2513,,0.047619047619047616,1,0.04306628056628056,0.17226512226512225,1.0,1.0,0.00011559649831850602,0,0,0,0.0
3,3069,1941,,0.047619047619047616,1,0.04306628056628056,0.17226512226512225,1.0,1.0,0.00011559649831850602,0,0,0,0.0
3,3069,1783,,0.02702702702702703,1,0.04306628056628056,0.17226512226512225,1.0,1.0,0.00011559649831850602,0,1,0,0.0
3,3119,457,,0.02564102564102564,1,0.06014668514668515,0.2405867405867406,1.0,2.5,0.00119686627829386,0,1,1,0.02564102564102564
3,3119,2513,,0.05128205128205128,2,0.06014668514668515,0.2405867405867406,1.0,2.5,0.00119686627829386,0,0,0,0.0
3,3119,1941,,0.10810810810810811,4,0.06014668514668515,0.2405867405867406,1.0,2.5,0.00119686627829386,1,0,0,0.0
3,3119,1783,,0.05555555555555555,3,0.06014668514668515,0.2405867405867406,1.0,2.5,0.00119686627829386,0,0,0,0.0
3,3136,457,,0.04,1,0.07251012145748988,0.2900404858299595,1.0,2.25,0.0019204794920967942,0,0,1,0.04
3,3136,2513,,0.08,2,0.07251012145748988,0.2900404858299595,1.0,2.25,0.0019204794920967942,0,0,0,0.0
3,3136,1941,,0.038461538461538464,1,0.07251012145748988,0.2900404858299595,1.0,2.25,0.0019204794920967942,0,1,0,0.0
3,3136,1783,,0.13157894736842105,5,0.07251012145748988,0.2900404858299595,1.0,2.25,0.0019204794920967942,1,0,0,0.0
3,3165,457,,0.03333333333333333,1,0.09176391320052235,0.3670556528020894,1.0,3.0,0.005427868550666264,0,0,1,0.03333333333333333
3,3165,2513,,0.03225806451612903,1,0.09176391320052235,0.3670556528020894,1.0,3.0,0.005427868550666264,0,1,0,0.0
3,3165,1941,,0.18518518518518517,5,0.09176391320052235,0.3670556528020894,1.0,3.0,0.005427868550666264,1,0,0,0.0
3,3165,1783,,0.11627906976744186,5,0.09176391320052235,0.3670556528020894,1.0,3.0,0.005427868550666264,0,0,0,0.0
3,3178,457,,0.17647058823529413,3,0.13415892672858618,0.5366357069143447,1.0,2.75,0.0019303251146746245,1,0,1,0.17647058823529413
3,3178,2513,,0.16666666666666666,3,0.13415892672858618,0.5366357069143447,1.0,2.75,0.0019303251146746245,0,0,0,0.0
3,3178,1941,,0.10526315789473684,2,0.13415892672858618,0.5366357069143447,1.0,2.75,0.0019303251146746245,0,0,0,0.0
3,3178,1783,,0.08823529411764706,3,0.13415892672858618,0.5366357069143447,1.0,2.75,0.0019303251146746245,0,1,0,0.0
3,3209,457,,0.19047619047619047,4,0.18141821946169773,0.7256728778467909,1.0,4.5,0.0020370834744315703,0,0,1,0.19047619047619047
3,3209,2513,,0.23809523809523808,5,0.18141821946169773,0.7256728778467909,1.0,4.5,0.0020370834744315703,1,0,0,0.0
3,3209,1941,,0.13043478260869565,3,0.18141821946169773,0.7256728778467909,1.0,4.5,0.0020370834744315703,0,1,0,0.0
3,3209,1783,,0.16666666666666666,6,0.18141821946169773,0.7256728778467909,1.0,4.5,0.0020370834744315703,0,0,0,0.0
3,3237,457,,0.23809523809523808,5,0.1927149890536618,0.7708599562146472,1.0,4.75,0.002448244341417592,1,0,1,0.23809523809523808
3,3237,2513,,0.22727272727272727,5,0.1927149890536618,0.7708599562146472,1.0,4.75,0.002448244341417592,0,0,0,0.0
3,3237,1941,,0.17391304347826086,4,0.1927149890536618,0.7708599562146472,1.0,4.75,0.002448244341417592,0,0,0,0.0
3,3237,1783,,0.13157894736842105,5,0.1927149890536618,0.7708599562146472,1.0,4.75,0.002448244341417592,0,1,0,0.0
3,3484,457,,0.23529411764705882,4,0.16879084967320263,0.6751633986928105,1.0,3.5,0.004875154854970309,1,0,1,0.23529411764705882
3,3484,2513,,0.2222222222222222,4,0.16879084967320263,0.6751633986928105,1.0,3.5,0.004875154854970309,0,0,0,0.0
3,3484,1941,,0.1,2,0.16879084967320263,0.6751633986928105,1.0,3.5,0.004875154854970309,0,1,0,0.0
3,3484,1783,,0.11764705882352941,4,0.16879084967320263,0.6751633986928105,1.0,3.5,0.004875154854970309,0,0,0,0.0
3,3732,457,,0.03333333333333333,1,0.08978405315614618,0.3591362126245847,1.0,3.0,0.0024132786940868527,0,1,1,0.03333333333333333
3,3732,2513,,0.06666666666666667,2,0.08978405315614618,0.3591362126245847,1.0,3.0,0.0024132786940868527,0,0,0,0.0
3,3732,1941,,0.14285714285714285,4,0.08978405315614618,0.3591362126245847,1.0,3.0,0.0024132786940868527,1,0,0,0.0
3,3732,1783,,0.11627906976744186,5,0.08978405315614618,0.3591362126245847,1.0,3.0,0.0024132786940868527,0,0,0,0.0
3,3737,457,,0.16666666666666666,3,0.12756892230576442,0.5102756892230577,1.0,2.75,0.0016533815742363423,1,0,1,0.16666666666666666
3,3737,2513,,0.15789473684210525,3,0.12756892230576442,0.5102756892230577,1.0,2.75,0.0016533815742363423,0,0,0,0.0
3,3737,1941,,0.1,2,0.12756892230576442,0.5102756892230577,1.0,2.75,0.0016533815742363423,0,0,0,0.0
3,3737,1783,,0.08571428571428572,3,0.12756892230576442,0.5102756892230577,1.0,2.75,0.0016533815742363423,0,1,0,0.0
3,393,457,,0.08571428571428572,3,0.09583333333333333,0.3833333333333333,1.0,3.75,0.00020549886621315194,0,0,1,0.08571428571428572
3,393,2513,,0.08333333333333333,3,0.09583333333333333,0.3833333333333333,1.0,3.75,0.00020549886621315194,0,1,0,0.0
3,393,1941,,0.11428571428571428,4,0.09583333333333333,0.3833333333333333,1.0,3.75,0.00020549886621315194,1,0,0,0.0
3,393,1783,,0.1,5,0.09583333333333333,0.3833333333333333,1.0,3.75,0.00020549886621315194,0,0,0,0.0
3,4088,457,,0.16666666666666666,4,0.1487312030075188,0.5949248120300752,1.0,4.25,0.005968566924307427,0,0,1,0.16666666666666666
3,4088,2513,,0.20833333333333334,5,0.1487312030075188,0.5949248120300752,1.0,4.25,0.005968566924307427,1,0,0,0.0
3,4088,1941,,0.03571428571428571,1,0.1487312030075188,0.5949248120300752,1.0,4.25,0.005968566924307427,0,1,0,0.0
3,4088,1783,,0.18421052631578946,7,0.1487312030075188,0.5949248120300752,1.0,4.25,0.005968566924307427,0,0,0,0.0
3,4122,457,,0.045454545454545456,1,0.10436117936117936,0.41744471744471745,1.0,2.5,0.004446565730349515,0,1,1,0.045454545454545456
3,4122,2513,,0.09090909090909091,2,0.10436117936117936,0.41744471744471745,1.0,2.5,0.004446565730349515,0,0,0,0.0
3,4122,1941,,0.2,4,0.10436117936117936,0.41744471744471745,1.0,2.5,0.004446565730349515,1,0,0,0.0
3,4122,1783,,0.08108108108108109,3,0.10436117936117936,0.41744471744471745,1.0,2.5,0.004446565730349515,0,0,0,0.0
3,4183,457,,0.02702702702702703,1,0.09082017617486725,0.363280704699469,1.0,3.75,0.00659025367016765,0,0,1,0.02702702702702703
3,4183,2513,,0.02631578947368421,1,0.09082017617486725,0.363280704699469,1.0,3.75,0.00659025367016765,0,1,0,0.0
3,4183,1941,,0.11428571428571428,4,0.09082017617486725,0.363280704699469,1.0,3.75,0.00659025367016765,0,0,0,0.0
