usuario,hotel_recomendado,propiedad,hotel_consumido,degree_centrality,normalized_degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,attribute_influence_score
3,104,has_name:French Market,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_attribute:GoodForKids=True,,2,0.02631578947368421,0.05434945429527473,0.41530054644808745,0.14329682805005417,0.010471176837975063,34.75,0.5
3,104,"has_attribute:BusinessParking={garage: False, street: True, validated: False, lot: True, valet: False}",,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_attribute:BusinessAcceptsCreditCards=True,,3,0.039473684210526314,0.10027392456185023,0.4550898203592814,0.16606411522648207,0.014623100712217249,37.166666666666664,1.5
3,104,has_attribute:DogsAllowed=True,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_attribute:RestaurantsPriceRange2=2,,2,0.02631578947368421,0.029713108528898004,0.3568075117370892,0.09663443277079467,0.010626007430162948,31.0,0.5
3,104,has_attribute:ByAppointmentOnly=False,,2,0.02631578947368421,0.05434945429527473,0.41530054644808745,0.14329682805005417,0.010471176837975063,34.75,0.5
3,104,has_attribute:Caters=False,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_attribute:BikeParking=True,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_attribute:RestaurantsTakeOut=True,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Gift Shops,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Farmers Market,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Fashion,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Flowers & Gifts,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Tours,,3,0.039473684210526314,0.06599422604685765,0.3781094527363184,0.13564331703589844,0.013767490080389591,32.916666666666664,1.5
3,104,has_category:Specialty Food,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Shopping Centers,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Arts & Crafts,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Art Supplies,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Used,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Public Markets,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Food,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Vintage & Consignment,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Flea Markets,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Fruits & Veggies,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_category:Shopping,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,"has_coordinates:(29.9590, -90.0602)",,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_rating:3.5 stars,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,status:open,,5,0.06578947368421052,0.1987028867245584,0.5170068027210885,0.22784028666801365,0.02191650723668608,40.5,5.0
3,104,has_postal_code:70116,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,located_in_city:New Orleans,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,in_state:LA,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,104,has_review_count:692 reviews,,1,0.013157894736842105,0.0,0.3261802575107296,0.07386714559436681,0.006474083555920763,28.08333333333333,0.0
3,1054,in_state:PA,,5,0.08771929824561403,0.14744435110976478,0.5229357798165137,0.2359373896382332,0.027677754308546066,31.0,5.0
3,1054,has_category:Event Planning & Services,,2,0.03508771929824561,0.01012421162797103,0.3220338983050847,0.06651229639167755,0.013002973262235306,21.25,0.5
3,1054,has_category:Wedding Planning,,1,0.017543859649122806,0.0,0.29533678756476683,0.03861136328968096,0.007704060545461371,18.833333333333332,0.0
3,1054,has_category:Venues & Event Spaces,,1,0.017543859649122806,0.0,0.29533678756476683,0.03861136328968096,0.007704060545461371,18.833333333333332,0.0
3,1054,has_attribute:WiFi=free,,3,0.05263157894736842,0.0671898885714675,0.4418604651162791,0.15493153057966622,0.018296877059891574,27.666666666666668,1.5
3,1054,has_attribute:RestaurantsPriceRange2=3,,1,0.017543859649122806,0.0,0.29533678756476683,0.03861136328968096,0.007704060545461371,18.833333333333332,0.0
3,1054,has_attribute:BusinessAcceptsCreditCards=True,,3,0.05263157894736842,0.0671898885714675,0.4418604651162791,0.15493153057966622,0.018296877059891574,27.666666666666668,1.5
3,1054,has_attribute:DogsAllowed=True,,1,0.017543859649122806,0.0,0.29533678756476683,0.03861136328968096,0.007704060545461371,18.833333333333332,0.0
3,1054,has_name:Kimpton Hotel Palomar Philadelphia,,1,0.017543859649122806,0.0,0.29533678756476683,0.03861136328968096,0.007704060545461371,18.833333333333332,0.0
3,1054,status:open,,5,0.08771929824561403,0.14744435110976478,0.5229357798165137,0.2359373896382332,0.027677754308546066,31.0,5.0
3,1054,has_review_count:444 reviews,,1,0.017543859649122806,0.0,0.29533678756476683,0.03861136328968096,0.007704060545461371,18.833333333333332,0.0
3,1054,located_in_city:Philadelphia,,4,0.07017543859649122,0.07406664624709736,0.456,0.20803645653623662,0.022378841591772135,28.583333333333332,3.0
3,1054,has_rating:4.0 stars,,2,0.03508771929824561,0.010511668782345471,0.32571428571428573,0.07897289317051955,0.01242373150236507,21.499999999999996,0.5
3,1054,"has_coordinates:(39.9508, -75.1686)",,1,0.017543859649122806,0.0,0.29533678756476683,0.03861136328968096,0.007704060545461371,18.833333333333332,0.0
3,1054,has_postal_code:19103,,1,0.017543859649122806,0.0,0.29533678756476683,0.03861136328968096,0.007704060545461371,18.833333333333332,0.0
3,1093,has_review_count:415 reviews,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_name:Tucson International Airport - TUS,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_category:Shopping,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_category:Employment Agencies,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_category:Airports,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_category:Professional Services,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_category:Shopping Centers,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_attribute:BikeParking=True,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_attribute:ByAppointmentOnly=False,,2,0.03225806451612903,0.058556452723871076,0.4,0.12302213692117075,0.012645948445887484,27.75,0.5
3,1093,"has_attribute:BusinessParking={garage: False, street: False, validated: False, lot: False, valet: False}",,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_attribute:RestaurantsPriceRange2=2,,2,0.03225806451612903,0.02328741826362133,0.3315508021390374,0.05438541391536277,0.01278274193040943,23.75,0.5
3,1093,has_attribute:WiFi=free,,3,0.04838709677419355,0.107003146754912,0.4460431654676259,0.14966770814243077,0.01769582197208195,30.166666666666668,1.5
3,1093,has_rating:4.0 stars,,2,0.03225806451612903,0.028276904803874642,0.33513513513513515,0.06890907699918464,0.01218215357028509,23.999999999999996,0.5
3,1093,located_in_city:Tucson,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,"has_coordinates:(32.1203, -110.9373)",,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,has_postal_code:85706,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,in_state:AZ,,1,0.016129032258064516,0.0,0.2995169082125604,0.027739842694102738,0.0077328684042149674,20.833333333333332,0.0
3,1093,status:open,,5,0.08064516129032258,0.22766414380095307,0.5210084033613446,0.23283880811746557,0.02651836531923267,33.5,5.0
3,1164,has_category:Tours,,3,0.05084745762711865,0.036713214583189054,0.3619631901840491,0.11960725029185082,0.016456482413098647,24.916666666666664,1.5
3,1164,has_category:Event Planning & Services,,2,0.03389830508474576,0.022649234730233114,0.34104046242774566,0.06774197198719051,0.012666806744233153,23.25,0.5
3,1164,has_category:Automotive,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,has_category:Venues & Event Spaces,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,has_category:Festivals,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,has_category:Arts & Entertainment,,2,0.03389830508474576,0.023915001426342182,0.4013605442176871,0.13168102365197068,0.012378110032553374,26.5,0.5
3,1164,has_category:Local Flavor,,2,0.03389830508474576,0.023915001426342182,0.4013605442176871,0.13168102365197068,0.012378110032553374,26.5,0.5
3,1164,has_category:Museums,,2,0.03389830508474576,0.023915001426342182,0.4013605442176871,0.13168102365197068,0.012378110032553374,26.5,0.5
3,1164,has_attribute:DogsAllowed=False,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,has_attribute:BusinessAcceptsCreditCards=True,,3,0.05084745762711865,0.0721555376130218,0.45038167938931295,0.1565416218941387,0.01753402316005699,28.916666666666668,1.5
3,1164,has_attribute:GoodForKids=True,,2,0.03389830508474576,0.023915001426342182,0.4013605442176871,0.13168102365197068,0.012378110032553374,26.5,0.5
3,1164,has_review_count:403 reviews,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,in_state:LA,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,has_postal_code:70130,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,located_in_city:New Orleans,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,has_name:Mardi Gras World-Riverfront,,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,"has_coordinates:(29.9350, -90.0617)",,1,0.01694915254237288,0.0,0.30569948186528495,0.0428813737450225,0.007510893616729534,20.333333333333332,0.0
3,1164,status:open,,5,0.0847457627118644,0.15894721118396737,0.5221238938053098,0.233267498440967,0.026479611956426105,32.0,5.0
3,1164,has_rating:4.0 stars,,2,0.03389830508474576,0.015783951847811086,0.34104046242774566,0.08113030736434065,0.012019513021215641,23.249999999999996,0.5
3,1442,has_category:Airports,,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,has_category:Transportation,,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,located_in_city:Kenner,,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,status:open,,5,0.0847457627118644,0.21496471332254358,0.5221238938053098,0.23305333430597971,0.02705784024757566,32.0,5.0
3,1442,has_postal_code:70062,,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,has_attribute:RestaurantsDelivery=False,,2,0.03389830508474576,0.03051960702457485,0.3959731543624161,0.12767541794627754,0.012753715488701774,26.249999999999996,0.5
3,1442,"has_attribute:GoodForMeal={dessert: False, latenight: False, lunch: False, dinner: False, brunch: False, breakfast: False}",,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,has_attribute:WiFi=free,,3,0.05084745762711865,0.06886949987475996,0.43703703703703706,0.15501735481981907,0.01783156433491996,28.416666666666668,1.5
3,1442,has_attribute:RestaurantsPriceRange2=2,,2,0.03389830508474576,0.014083706734203519,0.329608938547486,0.061204335940742025,0.012845766053667065,22.5,0.5
3,1442,has_attribute:ByAppointmentOnly=False,,2,0.03389830508474576,0.03051960702457485,0.3959731543624161,0.12767541794627754,0.012753715488701774,26.249999999999996,0.5
3,1442,has_attribute:RestaurantsTakeOut=True,,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,has_attribute:OutdoorSeating=False,,2,0.03389830508474576,0.03051960702457485,0.3959731543624161,0.12767541794627754,0.012753715488701774,26.249999999999996,0.5
3,1442,has_name:Louis Armstrong New Orleans International Airport  MSY,,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,has_rating:3.0 stars,,2,0.03389830508474576,0.014083706734203519,0.329608938547486,0.061204335940742025,0.012845766053667065,22.5,0.5
3,1442,"has_coordinates:(29.9959, -90.2552)",,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,in_state:LA,,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1442,has_review_count:1789 reviews,,1,0.01694915254237288,0.0,0.29949238578680204,0.03386239906720051,0.007767917207448878,19.833333333333332,0.0
3,1487,has_name:Ride The Ducks,,1,0.018518518518518517,0.0,0.28272251308900526,0.028273168153858965,0.008099112095290198,16.833333333333336,0.0
3,1487,status:closed,,1,0.018518518518518517,0.0,0.28272251308900526,0.028273168153858965,0.008099112095290198,16.833333333333336,0.0
3,1487,has_postal_code:19106,,4,0.07407407407407407,0.06564307243799163,0.4462809917355372,0.2079121691277634,0.02368289610608684,26.833333333333332,3.0
3,1487,has_category:Tours,,3,0.05555555555555555,0.016440826818185317,0.3312883435582822,0.1146217017998685,0.01808934993681907,21.166666666666668,1.5
3,1487,has_category:Local Flavor,,2,0.037037037037037035,0.023983294627023834,0.3829787234042553,0.12156363548175385,0.013692658264557967,23.499999999999996,0.5
3,1487,located_in_city:Philadelphia,,4,0.07407407407407407,0.06564307243799163,0.4462809917355372,0.2079121691277634,0.02368289610608684,26.833333333333332,3.0
3,1487,"has_coordinates:(39.9510, -75.1503)",,1,0.018518518518518517,0.0,0.28272251308900526,0.028273168153858965,0.008099112095290198,16.833333333333336,0.0
3,1487,has_review_count:83 reviews,,1,0.018518518518518517,0.0,0.28272251308900526,0.028273168153858965,0.008099112095290198,16.833333333333336,0.0
3,1487,in_state:PA,,5,0.09259259259259259,0.18725254457157284,0.5242718446601942,0.23158568443356464,0.029642198015699152,29.5,5.0
3,1487,has_rating:3.5 stars,,1,0.018518518518518517,0.0,0.28272251308900526,0.028273168153858965,0.008099112095290198,16.833333333333336,0.0
3,1608,has_postal_code:70094,,1,0.017857142857142856,0.0,0.28717948717948716,0.026784293256105467,0.008089577117195377,17.833333333333336,0.0
3,1608,has_category:Arts & Entertainment,,2,0.03571428571428571,0.029076160347957618,0.38620689655172413,0.12175508014168666,0.013477780137242532,24.5,0.5
3,1608,has_category:Tours,,3,0.05357142857142857,0.03217157661962856,0.3393939393939394,0.11087356153816308,0.01781037683419209,22.416666666666664,1.5
3,1608,has_category:Professional Sports Teams,,1,0.017857142857142856,0.0,0.28717948717948716,0.026784293256105467,0.008089577117195377,17.833333333333336,0.0
3,1608,"has_coordinates:(29.9001, -90.1523)",,1,0.017857142857142856,0.0,0.28717948717948716,0.026784293256105467,0.008089577117195377,17.833333333333336,0.0
3,1608,has_attribute:WiFi=free,,3,0.05357142857142857,0.08888400730995477,0.4409448818897638,0.14687061713343458,0.01917373681285404,27.166666666666668,1.5
3,1608,has_review_count:472 reviews,,1,0.017857142857142856,0.0,0.28717948717948716,0.026784293256105467,0.008089577117195377,17.833333333333336,0.0
3,1608,has_rating:4.5 stars,,3,0.05357142857142857,0.0478286760865563,0.40875912408759124,0.16506678868118024,0.018246944239742397,25.916666666666668,1.5
3,1608,located_in_city:Westwego,,1,0.017857142857142856,0.0,0.28717948717948716,0.026784293256105467,0.008089577117195377,17.833333333333332,0.0
3,1608,status:open,,5,0.08928571428571427,0.18352110702946892,0.5233644859813084,0.23095988541549217,0.028894536529850752,30.5,5.0
3,1608,has_name:Ultimate Swamp Adventures,,1,0.017857142857142856,0.0,0.28717948717948716,0.026784293256105467,0.008089577117195377,17.833333333333336,0.0
3,1608,in_state:LA,,1,0.017857142857142856,0.0,0.28717948717948716,0.026784293256105467,0.008089577117195377,17.833333333333336,0.0
3,163,has_category:Nightlife,,1,0.011904761904761904,0.0,0.34854771784232363,0.08277962174113036,0.0056677102282015925,33.08333333333333,0.0
3,163,has_category:Event Planning & Services,,2,0.023809523809523808,0.017714114788125117,0.37333333333333335,0.09916492196759795,0.009362417336385043,35.5,0.5
3,163,has_category:Gluten-Free,,1,0.011904761904761904,0.0,0.34854771784232363,0.08277962174113036,0.0056677102282015925,33.08333333333333,0.0
3,163,has_category:Bars,,1,0.011904761904761904,0.0,0.34854771784232363,0.08277962174113036,0.0056677102282015925,33.08333333333333,0.0
3,163,has_category:Beer,,1,0.011904761904761904,0.0,0.34854771784232363,0.08277962174113036,0.0056677102282015925,33.08333333333333,0.0
3,163,has_category:Restaurants,,2,0.023809523809523808,0.026160804348513155,0.4221105527638191,0.1236866848909314,0.009240749830741933,38.75,0.5
3,163,has_category:Food,,1,0.011904761904761904,0.0,0.34854771784232363,0.08277962174113036,0.0056677102282015925,33.08333333333333,0.0
