usuario,hotel_recomendado,hotel_consumido,propiedad,jaccard_similarity,cosine_similarity,shared_attribute_count,weighted_shared_attribute_score,shared_category_count,shared_location_count,category_alignment_score,path_count,path_length,weighted_kps
3,104,457,,0.047619047619047616,0.1049727762162956,2,2.3,1,0,0.0625,2,2,2.3
3,104,2513,,0.046511627906976744,0.10050378152592121,2,2.3,1,0,0.0625,2,2,2.3
3,104,1941,,0.07142857142857142,0.15075567228888181,3,2.3,0,0,0.0625,3,2,2.3
3,104,1783,,0.07017543859649122,0.1315903389919538,4,3.3,0,0,0.0625,4,2,3.3
3,1054,457,,0.13043478260869565,0.23354968324845687,3,5.8,0,2,0.3333333333333333,3,2,5.8
3,1054,2513,,0.17391304347826086,0.29814239699997197,4,7.3,0,2,0.3333333333333333,4,2,7.3
3,1054,1941,,0.22727272727272727,0.372677996249965,5,6.8,1,1,0.3333333333333333,5,2,6.8
3,1054,1783,,0.13157894736842105,0.24397501823713327,5,7.8,0,2,0.3333333333333333,5,2,7.8
3,1093,457,,0.03571428571428571,0.07106690545187015,1,0.3,0,0,0.0,1,2,0.3
3,1093,2513,,0.07142857142857142,0.13608276348795434,2,1.8,0,0,0.0,2,2,1.8
3,1093,1941,,0.1111111111111111,0.20412414523193154,3,2.3,0,0,0.0,3,2,2.3
3,1093,1783,,0.06976744186046512,0.1336306209562122,3,2.3,0,0,0.0,3,2,2.3
3,1164,457,,0.07142857142857142,0.13834289277321493,2,2.3,1,0,0.625,2,2,2.3
3,1164,2513,,0.10714285714285714,0.19867985355975656,3,3.8,1,0,0.625,3,2,3.8
3,1164,1941,,0.10714285714285714,0.19867985355975656,3,3.3,1,0,0.625,3,2,3.3
3,1164,1783,,0.14634146341463414,0.26013299085723596,6,8.3,3,0,0.625,6,2,8.3
3,1442,457,,0.037037037037037035,0.07312724241271307,1,0.3,0,0,0.0,1,2,0.3
3,1442,2513,,0.03571428571428571,0.0700140042014005,1,0.3,0,0,0.0,1,2,0.3
3,1442,1941,,0.16,0.280056016805602,4,3.8,0,0,0.0,4,2,3.8
3,1442,1783,,0.125,0.2291746242570528,5,4.3,0,0,0.0,5,2,4.3
3,1487,457,,0.23529411764705882,0.38138503569823695,4,8.5,1,3,1.0,4,2,8.5
3,1487,2513,,0.2222222222222222,0.3651483716701107,4,8.5,1,3,1.0,4,2,8.5
3,1487,1941,,0.047619047619047616,0.09128709291752768,1,2.5,0,1,1.0,1,2,2.5
3,1487,1783,,0.11764705882352941,0.23904572186687872,4,8.5,1,3,1.0,4,2,8.5
3,1608,457,,0.15,0.26111648393354675,3,3.8,1,0,0.6666666666666666,3,2,3.8
3,1608,2513,,0.09090909090909091,0.16666666666666669,2,2.3,1,0,0.6666666666666666,2,2,2.3
3,1608,1941,,0.09090909090909091,0.16666666666666669,2,1.3,0,0,0.6666666666666666,2,2,1.3
3,1608,1783,,0.1111111111111111,0.2182178902359924,4,4.8,1,0,0.6666666666666666,4,2,4.8
3,163,457,,0.07692307692307693,0.1797866299901979,4,6.8,0,3,0.2,4,2,6.8
3,163,2513,,0.09615384615384616,0.21516574145596762,5,8.3,0,3,0.2,5,2,8.3
3,163,1941,,0.09615384615384616,0.21516574145596762,5,6.8,1,1,0.2,5,2,6.8
3,163,1783,,0.12307692307692308,0.2253744679276044,8,11.8,1,3,0.2,8,2,11.8
3,1693,457,,0.044444444444444446,0.10050378152592121,2,2.8,0,1,0.375,2,2,2.8
3,1693,2513,,0.06666666666666667,0.14433756729740643,3,4.3,0,1,0.375,3,2,4.3
3,1693,1941,,0.09090909090909091,0.19245008972987526,4,5.8,1,1,0.375,4,2,5.8
