usuario,hotel_recomendado,hotel_consumido,propiedad,preference_coverage,blind_spot_coverage
3,104,,,0.13333333333333333,0.8666666666666667
3,1054,,,0.15555555555555556,0.8444444444444444
3,1093,,,0.1111111111111111,0.8888888888888888
3,1164,,,0.2,0.8
3,1442,,,0.15555555555555556,0.8444444444444444
3,1487,,,0.1111111111111111,0.8888888888888888
3,1608,,,0.1111111111111111,0.8888888888888888
3,163,,,0.2222222222222222,0.7777777777777778
3,1693,,,0.24444444444444444,0.7555555555555555
3,1729,,,0.2,0.8
3,2085,,,0.24444444444444444,0.7555555555555555
3,2101,,,0.2222222222222222,0.7777777777777778
3,2109,,,0.08888888888888889,0.9111111111111111
3,2290,,,0.044444444444444446,0.9555555555555556
3,2344,,,0.2,0.8
3,25,,,0.13333333333333333,0.8666666666666667
3,2557,,,0.08888888888888889,0.9111111111111111
3,2617,,,0.13333333333333333,0.8666666666666667
3,2963,,,0.28888888888888886,0.7111111111111111
3,2972,,,0.17777777777777778,0.8222222222222222
3,3069,,,0.022222222222222223,0.9777777777777777
3,3119,,,0.1111111111111111,0.8888888888888888
3,3136,,,0.13333333333333333,0.8666666666666667
3,3165,,,0.15555555555555556,0.8444444444444444
3,3178,,,0.06666666666666667,0.9333333333333333
3,3209,,,0.15555555555555556,0.8444444444444444
3,3237,,,0.15555555555555556,0.8444444444444444
3,3484,,,0.08888888888888889,0.9111111111111111
3,3732,,,0.15555555555555556,0.8444444444444444
3,3737,,,0.06666666666666667,0.9333333333333333
3,393,,,0.15555555555555556,0.8444444444444444
3,4088,,,0.2,0.8
3,4122,,,0.1111111111111111,0.8888888888888888
3,4183,,,0.2222222222222222,0.7777777777777778
3,4359,,,0.2222222222222222,0.7777777777777778
3,4464,,,0.2222222222222222,0.7777777777777778
3,45,,,0.13333333333333333,0.8666666666666667
3,473,,,0.26666666666666666,0.7333333333333334
3,4825,,,0.17777777777777778,0.8222222222222222
3,4830,,,0.1111111111111111,0.8888888888888888
3,4942,,,0.17777777777777778,0.8222222222222222
3,4990,,,0.2222222222222222,0.7777777777777778
3,5061,,,0.1111111111111111,0.8888888888888888
3,522,,,0.1111111111111111,0.8888888888888888
3,5605,,,0.15555555555555556,0.8444444444444444
3,5855,,,0.044444444444444446,0.9555555555555556
3,774,,,0.2,0.8
3,888,,,0.24444444444444444,0.7555555555555555
3,901,,,0.17777777777777778,0.8222222222222222
3,907,,,0.28888888888888886,0.7111111111111111
