usuario,hotel_recomendado,propiedad,hotel_consumido,relation_type,semantic_group,type_specific_match_frequency,relation_weight,weighted_type_match_score
3,2085,,,has_postal_code,location,0.0,1.0,1.3038461538461539
3,2085,,,has_name,identity,0.0,0.5,1.3038461538461539
3,2085,,,located_in_city,location,0.0,3.0,1.3038461538461539
3,2101,,,has_attribute,attribute,0.25,1.0,1.8
3,2101,,,has_name,identity,0.0,0.5,1.8
3,2101,,,status,identity,1.0,0.3,1.8
3,2101,,,has_rating,quality,0.5,1.5,1.8
3,2101,,,has_category,category,0.25,2.0,1.8
3,2101,,,has_coordinates,location,0.0,1.0,1.8
3,2101,,,in_state,location,0.0,2.5,1.8
3,2101,,,has_postal_code,location,0.0,1.0,1.8
3,2101,,,has_review_count,quality,0.0,0.8,1.8
3,2101,,,located_in_city,location,0.0,3.0,1.8
3,2109,,,has_review_count,quality,0.0,0.8,0.7166666666666666
3,2109,,,has_name,identity,0.0,0.5,0.7166666666666666
3,2109,,,has_coordinates,location,0.0,1.0,0.7166666666666666
3,2109,,,has_postal_code,location,0.0,1.0,0.7166666666666666
3,2109,,,in_state,location,0.0,2.5,0.7166666666666666
3,2109,,,has_attribute,attribute,0.16666666666666666,1.0,0.7166666666666666
3,2109,,,has_category,category,0.125,2.0,0.7166666666666666
3,2109,,,has_rating,quality,0.0,1.5,0.7166666666666666
3,2109,,,status,identity,1.0,0.3,0.7166666666666666
3,2109,,,located_in_city,location,0.0,3.0,0.7166666666666666
3,2290,,,has_name,identity,0.0,0.5,0.675
3,2290,,,has_coordinates,location,0.0,1.0,0.675
3,2290,,,has_category,category,0.0,2.0,0.675
3,2290,,,located_in_city,location,0.0,3.0,0.675
3,2290,,,status,identity,1.0,0.3,0.675
3,2290,,,in_state,location,0.0,2.5,0.675
3,2290,,,has_postal_code,location,0.0,1.0,0.675
3,2290,,,has_rating,quality,0.25,1.5,0.675
3,2290,,,has_review_count,quality,0.0,0.8,0.675
3,2344,,,in_state,location,0.0,2.5,0.8621794871794872
3,2344,,,has_category,category,0.07692307692307693,2.0,0.8621794871794872
3,2344,,,has_attribute,attribute,0.03333333333333333,1.0,0.8621794871794872
3,2344,,,has_name,identity,0.0,0.5,0.8621794871794872
3,2344,,,has_rating,quality,0.25,1.5,0.8621794871794872
3,2344,,,has_coordinates,location,0.0,1.0,0.8621794871794872
3,2344,,,has_postal_code,location,0.0,1.0,0.8621794871794872
3,2344,,,located_in_city,location,0.0,3.0,0.8621794871794872
3,2344,,,status,identity,1.0,0.3,0.8621794871794872
3,2344,,,has_review_count,quality,0.0,0.8,0.8621794871794872
3,25,,,status,identity,1.0,0.3,2.1
3,25,,,located_in_city,location,0.0,3.0,2.1
3,25,,,has_postal_code,location,0.0,1.0,2.1
3,25,,,has_category,category,0.4,2.0,2.1
3,25,,,has_coordinates,location,0.0,1.0,2.1
3,25,,,has_review_count,quality,0.0,0.8,2.1
3,25,,,has_rating,quality,0.5,1.5,2.1
3,25,,,in_state,location,0.0,2.5,2.1
3,25,,,has_name,identity,0.0,0.5,2.1
3,25,,,has_attribute,attribute,0.25,1.0,2.1
3,2557,,,has_review_count,quality,0.0,0.8,0.925
3,2557,,,in_state,location,0.0,2.5,0.925
3,2557,,,located_in_city,location,0.0,3.0,0.925
3,2557,,,has_category,category,0.0,2.0,0.925
3,2557,,,has_attribute,attribute,0.25,1.0,0.925
3,2557,,,status,identity,1.0,0.3,0.925
3,2557,,,has_postal_code,location,0.0,1.0,0.925
3,2557,,,has_name,identity,0.0,0.5,0.925
3,2557,,,has_coordinates,location,0.0,1.0,0.925
3,2557,,,has_rating,quality,0.25,1.5,0.925
3,2617,,,has_postal_code,location,0.0,1.0,1.4875
3,2617,,,has_category,category,0.25,2.0,1.4875
3,2617,,,has_attribute,attribute,0.3125,1.0,1.4875
3,2617,,,located_in_city,location,0.0,3.0,1.4875
3,2617,,,has_name,identity,0.0,0.5,1.4875
3,2617,,,has_rating,quality,0.25,1.5,1.4875
3,2617,,,in_state,location,0.0,2.5,1.4875
3,2617,,,has_review_count,quality,0.0,0.8,1.4875
3,2617,,,has_coordinates,location,0.0,1.0,1.4875
3,2617,,,status,identity,1.0,0.3,1.4875
3,2963,,,has_category,category,0.34375,2.0,6.1125
3,2963,,,has_review_count,quality,0.0,0.8,6.1125
3,2963,,,in_state,location,1.0,2.5,6.1125
3,2963,,,has_attribute,attribute,0.3,1.0,6.1125
3,2963,,,located_in_city,location,0.75,3.0,6.1125
3,2963,,,has_rating,quality,0.25,1.5,6.1125
3,2963,,,has_postal_code,location,0.0,1.0,6.1125
3,2963,,,status,identity,0.0,0.3,6.1125
3,2963,,,has_name,identity,0.0,0.5,6.1125
3,2963,,,has_coordinates,location,0.0,1.0,6.1125
3,2972,,,status,identity,1.0,0.3,1.4805555555555556
3,2972,,,has_category,category,0.2777777777777778,2.0,1.4805555555555556
3,2972,,,has_rating,quality,0.25,1.5,1.4805555555555556
3,2972,,,has_attribute,attribute,0.25,1.0,1.4805555555555556
3,2972,,,located_in_city,location,0.0,3.0,1.4805555555555556
3,2972,,,in_state,location,0.0,2.5,1.4805555555555556
3,2972,,,has_name,identity,0.0,0.5,1.4805555555555556
3,2972,,,has_coordinates,location,0.0,1.0,1.4805555555555556
3,2972,,,has_review_count,quality,0.0,0.8,1.4805555555555556
3,2972,,,has_postal_code,location,0.0,1.0,1.4805555555555556
3,3069,,,has_attribute,attribute,0.0,1.0,0.3
